resist_gene,gens_dep_under50,generation,insecticide,active_or_refuge,resistance,i_in_use
insecticide1,25,1,1,active,0.001,1
insecticide1,25,2,1,active,0.0014159034138218154,1
insecticide1,25,3,1,active,0.0020043335433577044,1
insecticide1,25,4,1,active,0.0028364088256938318,1
insecticide1,25,5,1,active,0.004012114678091764,1
insecticide1,25,6,1,active,0.005671573733854667,1
insecticide1,25,7,2,active,0.008010273222211763,NA
insecticide1,25,8,2,active,0.007612649277312065,NA
insecticide1,25,9,2,active,0.007234626659536628,NA
insecticide1,25,10,2,active,0.006875252323789926,NA
insecticide1,25,11,2,active,0.00653361828030108,NA
insecticide1,25,12,2,active,0.00620885958974593,NA
insecticide1,25,13,1,active,0.0059001524351911935,1
insecticide1,25,14,1,active,0.008332087046273319,1
insecticide1,25,15,1,active,0.011751123692037005,1
insecticide1,25,16,1,active,0.0165429635991576,1
insecticide1,25,17,1,active,0.023229654674325896,1
insecticide1,25,18,1,active,0.03250429812796197,1
insecticide1,25,19,2,active,0.04526196914742057,NA
insecticide1,25,20,2,active,0.04309147891641759,NA
insecticide1,25,21,2,active,0.041020825998702215,NA
insecticide1,25,22,2,active,0.03904581846300107,NA
insecticide1,25,23,2,active,0.03716240238459452,NA
insecticide1,25,24,2,active,0.03536666106677137,NA
insecticide1,25,25,1,active,0.033654813817035445,1
insecticide1,25,26,1,active,0.04683604042910115,1
insecticide1,25,27,1,active,0.06473832440970416,1
insecticide1,25,28,1,active,0.0886750046674909,1
insecticide1,25,29,1,active,0.12002959287709258,1
insecticide1,25,30,1,active,0.16003721478223518,1
insecticide1,25,31,2,active,0.2094569303627768,NA
insecticide1,25,32,2,active,0.20100056979584888,NA
insecticide1,25,33,2,active,0.19280588921231062,NA
insecticide1,25,34,2,active,0.18487131707377358,NA
insecticide1,25,35,2,active,0.17719470283542338,NA
insecticide1,25,36,2,active,0.16977336362978043,NA
insecticide1,25,37,1,active,0.16260413071961957,1
insecticide1,25,38,1,active,0.21256876253114412,1
insecticide1,25,39,1,active,0.2718165981647145,1
insecticide1,25,40,1,active,0.3390574267345543,1
insecticide1,25,41,1,active,0.4118609115876725,1
insecticide1,25,42,1,active,0.48700123521995403,1
insecticide1,25,43,2,active,0.5610471300593908,NA
insecticide1,25,44,2,active,0.5480015490873851,NA
insecticide1,25,45,2,active,0.5348987194280501,NA
insecticide1,25,46,2,active,0.5217566477265602,NA
insecticide1,25,47,2,active,0.5085935203934847,NA
insecticide1,25,48,2,active,0.49542760278452735,NA
insecticide1,25,49,1,active,0.4822771377905977,1
insecticide1,25,50,1,active,0.5564878295209237,1
insecticide1,25,51,NA,active,0.626744258563,NA
insecticide1,25,52,NA,active,NA,NA
insecticide1,25,53,NA,active,NA,NA
insecticide1,25,54,NA,active,NA,NA
insecticide1,25,55,NA,active,NA,NA
insecticide1,25,56,NA,active,NA,NA
insecticide1,25,57,NA,active,NA,NA
insecticide1,25,58,NA,active,NA,NA
insecticide1,25,59,NA,active,NA,NA
insecticide1,25,60,NA,active,NA,NA
insecticide1,25,61,NA,active,NA,NA
insecticide1,25,62,NA,active,NA,NA
insecticide1,25,63,NA,active,NA,NA
insecticide1,25,64,NA,active,NA,NA
insecticide1,25,65,NA,active,NA,NA
insecticide1,25,66,NA,active,NA,NA
insecticide1,25,67,NA,active,NA,NA
insecticide1,25,68,NA,active,NA,NA
insecticide1,25,69,NA,active,NA,NA
insecticide1,25,70,NA,active,NA,NA
insecticide2,24,1,1,active,0.001,NA
insecticide2,24,2,1,active,0.001,NA
insecticide2,24,3,1,active,0.001,NA
insecticide2,24,4,1,active,0.001,NA
insecticide2,24,5,1,active,0.001,NA
insecticide2,24,6,1,active,0.001,NA
insecticide2,24,7,2,active,0.001,1
insecticide2,24,8,2,active,0.0014159034138218154,1
insecticide2,24,9,2,active,0.0020043335433577044,1
insecticide2,24,10,2,active,0.0028364088256938318,1
insecticide2,24,11,2,active,0.004012114678091764,1
insecticide2,24,12,2,active,0.005671573733854667,1
insecticide2,24,13,1,active,0.008010273222211763,NA
insecticide2,24,14,1,active,0.007612649277312065,NA
insecticide2,24,15,1,active,0.007234626659536628,NA
insecticide2,24,16,1,active,0.006875252323789926,NA
insecticide2,24,17,1,active,0.00653361828030108,NA
insecticide2,24,18,1,active,0.00620885958974593,NA
insecticide2,24,19,2,active,0.0059001524351911935,1
insecticide2,24,20,2,active,0.008332087046273319,1
insecticide2,24,21,2,active,0.011751123692037005,1
insecticide2,24,22,2,active,0.0165429635991576,1
insecticide2,24,23,2,active,0.023229654674325896,1
insecticide2,24,24,2,active,0.03250429812796197,1
insecticide2,24,25,1,active,0.04526196914742057,NA
insecticide2,24,26,1,active,0.04309147891641759,NA
insecticide2,24,27,1,active,0.041020825998702215,NA
insecticide2,24,28,1,active,0.03904581846300107,NA
insecticide2,24,29,1,active,0.03716240238459452,NA
insecticide2,24,30,1,active,0.03536666106677137,NA
insecticide2,24,31,2,active,0.033654813817035445,1
insecticide2,24,32,2,active,0.04683604042910115,1
insecticide2,24,33,2,active,0.06473832440970416,1
insecticide2,24,34,2,active,0.0886750046674909,1
insecticide2,24,35,2,active,0.12002959287709258,1
insecticide2,24,36,2,active,0.16003721478223518,1
insecticide2,24,37,1,active,0.2094569303627768,NA
insecticide2,24,38,1,active,0.20100056979584888,NA
insecticide2,24,39,1,active,0.19280588921231062,NA
insecticide2,24,40,1,active,0.18487131707377358,NA
insecticide2,24,41,1,active,0.17719470283542338,NA
insecticide2,24,42,1,active,0.16977336362978043,NA
insecticide2,24,43,2,active,0.16260413071961957,1
insecticide2,24,44,2,active,0.21256876253114412,1
insecticide2,24,45,2,active,0.2718165981647145,1
insecticide2,24,46,2,active,0.3390574267345543,1
insecticide2,24,47,2,active,0.4118609115876725,1
insecticide2,24,48,2,active,0.48700123521995403,1
insecticide2,24,49,1,active,0.5610471300593908,NA
insecticide2,24,50,1,active,0.5480015490873851,NA
insecticide2,24,51,NA,active,0.5348987194280501,NA
insecticide2,24,52,NA,active,NA,NA
insecticide2,24,53,NA,active,NA,NA
insecticide2,24,54,NA,active,NA,NA
insecticide2,24,55,NA,active,NA,NA
insecticide2,24,56,NA,active,NA,NA
insecticide2,24,57,NA,active,NA,NA
insecticide2,24,58,NA,active,NA,NA
insecticide2,24,59,NA,active,NA,NA
insecticide2,24,60,NA,active,NA,NA
insecticide2,24,61,NA,active,NA,NA
insecticide2,24,62,NA,active,NA,NA
insecticide2,24,63,NA,active,NA,NA
insecticide2,24,64,NA,active,NA,NA
