resist_gene,gens_dep_under50,generation,insecticide,active_or_refuge,resistance,i_in_use
insecticide1,25,1,1,active,0.001,1
insecticide1,25,2,1,active,0.0014159034138218154,1
insecticide1,25,3,1,active,0.0020043335433577044,1
insecticide1,25,4,1,active,0.0028364088256938318,1
insecticide1,25,5,1,active,0.004012114678091764,1
insecticide1,25,6,1,active,0.005671573733854667,1
insecticide1,25,7,1,active,0.008010273222211763,1
insecticide1,25,8,1,active,0.011299197547301345,1
insecticide1,25,9,1,active,0.015910579155044947,1
insecticide1,25,10,1,active,0.022349141700029378,1
insecticide1,25,11,1,active,0.03128670987098303,1
insecticide1,25,12,1,active,0.04359409994246675,1
insecticide1,25,13,1,active,0.0603574692743902,1
insecticide1,25,14,1,active,0.08285681829234491,1
insecticide1,25,15,1,active,0.1124749194207192,1
insecticide1,25,16,1,active,0.15050395542168177,1
insecticide1,25,17,1,active,0.1978390684773816,1
insecticide1,25,18,1,active,0.25460482035833626,1
insecticide1,25,19,1,active,0.3198394473692256,1
insecticide1,25,20,1,active,0.3914069328863077,1
insecticide1,25,21,1,active,0.4662487413679409,1
insecticide1,25,22,2,active,0.5409257227700227,NA
insecticide1,25,23,2,active,0.5277994337729311,NA
insecticide1,25,24,2,active,0.5146437161685912,NA
insecticide1,25,25,2,active,0.5014768116210754,NA
insecticide1,25,26,2,active,0.48831698592662964,NA
insecticide1,25,27,2,active,0.4751824277831094,NA
insecticide1,25,28,2,active,0.46209114880488034,NA
insecticide1,25,29,2,active,0.449060885941238,NA
insecticide1,25,30,2,active,0.43610900740320324,NA
insecticide1,25,31,2,active,0.4232524231293258,NA
insecticide1,25,32,2,active,0.4105075007282153,NA
insecticide1,25,33,2,active,0.39788998772674694,NA
insecticide1,25,34,2,active,0.38541494083146366,NA
insecticide1,25,35,2,active,0.373096662780064,NA
insecticide1,25,36,2,active,0.36094864722358977,NA
insecticide1,25,37,2,active,0.34898353194154436,NA
insecticide1,25,38,2,active,0.3372130605550804,NA
insecticide1,25,39,2,active,0.32564805277074255,NA
insecticide1,25,40,2,active,0.3142983830618449,NA
insecticide1,25,41,2,active,0.30317296757879575,NA
insecticide1,25,42,2,active,0.2922797589755114,NA
insecticide1,25,43,1,active,0.28162574874793095,1
insecticide1,25,44,1,active,0.34989963186621015,1
insecticide1,25,45,1,active,0.4232817641053823,1
insecticide1,25,46,1,active,0.49847336598226083,1
insecticide1,25,47,2,active,0.5720681818903682,NA
insecticide1,25,48,2,active,0.5590851553962235,NA
insecticide1,25,49,NA,active,0.5460298027916661,NA
insecticide1,25,50,NA,active,NA,NA
insecticide1,25,51,NA,active,NA,NA
insecticide1,25,52,NA,active,NA,NA
insecticide1,25,53,NA,active,NA,NA
insecticide1,25,54,NA,active,NA,NA
insecticide1,25,55,NA,active,NA,NA
insecticide1,25,56,NA,active,NA,NA
insecticide1,25,57,NA,active,NA,NA
insecticide1,25,58,NA,active,NA,NA
insecticide1,25,59,NA,active,NA,NA
insecticide1,25,60,NA,active,NA,NA
insecticide1,25,61,NA,active,NA,NA
insecticide1,25,62,NA,active,NA,NA
insecticide1,25,63,NA,active,NA,NA
insecticide1,25,64,NA,active,NA,NA
insecticide1,25,65,NA,active,NA,NA
insecticide1,25,66,NA,active,NA,NA
insecticide1,25,67,NA,active,NA,NA
insecticide1,25,68,NA,active,NA,NA
insecticide1,25,69,NA,active,NA,NA
insecticide1,25,70,NA,active,NA,NA
insecticide2,22,1,1,active,0.001,NA
insecticide2,22,2,1,active,0.001,NA
insecticide2,22,3,1,active,0.001,NA
insecticide2,22,4,1,active,0.001,NA
insecticide2,22,5,1,active,0.001,NA
insecticide2,22,6,1,active,0.001,NA
insecticide2,22,7,1,active,0.001,NA
insecticide2,22,8,1,active,0.001,NA
insecticide2,22,9,1,active,0.001,NA
insecticide2,22,10,1,active,0.001,NA
insecticide2,22,11,1,active,0.001,NA
insecticide2,22,12,1,active,0.001,NA
insecticide2,22,13,1,active,0.001,NA
insecticide2,22,14,1,active,0.001,NA
insecticide2,22,15,1,active,0.001,NA
insecticide2,22,16,1,active,0.001,NA
insecticide2,22,17,1,active,0.001,NA
insecticide2,22,18,1,active,0.001,NA
insecticide2,22,19,1,active,0.001,NA
insecticide2,22,20,1,active,0.001,NA
insecticide2,22,21,1,active,0.001,NA
insecticide2,22,22,2,active,0.001,1
insecticide2,22,23,2,active,0.0014159034138218154,1
insecticide2,22,24,2,active,0.0020043335433577044,1
insecticide2,22,25,2,active,0.0028364088256938318,1
insecticide2,22,26,2,active,0.004012114678091764,1
insecticide2,22,27,2,active,0.005671573733854667,1
insecticide2,22,28,2,active,0.008010273222211763,1
insecticide2,22,29,2,active,0.011299197547301345,1
insecticide2,22,30,2,active,0.015910579155044947,1
insecticide2,22,31,2,active,0.022349141700029378,1
insecticide2,22,32,2,active,0.03128670987098303,1
insecticide2,22,33,2,active,0.04359409994246675,1
insecticide2,22,34,2,active,0.0603574692743902,1
insecticide2,22,35,2,active,0.08285681829234491,1
insecticide2,22,36,2,active,0.1124749194207192,1
insecticide2,22,37,2,active,0.15050395542168177,1
insecticide2,22,38,2,active,0.1978390684773816,1
insecticide2,22,39,2,active,0.25460482035833626,1
insecticide2,22,40,2,active,0.3198394473692256,1
insecticide2,22,41,2,active,0.3914069328863077,1
insecticide2,22,42,2,active,0.4662487413679409,1
insecticide2,22,43,1,active,0.5409257227700227,NA
insecticide2,22,44,1,active,0.5277994337729311,NA
insecticide2,22,45,1,active,0.5146437161685912,NA
insecticide2,22,46,1,active,0.5014768116210754,NA
insecticide2,22,47,2,active,0.48831698592662964,1
insecticide2,22,48,2,active,0.5623147924004609,1
insecticide2,22,49,NA,active,0.6321425177618448,NA
insecticide2,22,50,NA,active,NA,NA
insecticide2,22,51,NA,active,NA,NA
insecticide2,22,52,NA,active,NA,NA
insecticide2,22,53,NA,active,NA,NA
insecticide2,22,54,NA,active,NA,NA
insecticide2,22,55,NA,active,NA,NA
insecticide2,22,56,NA,active,NA,NA
insecticide2,22,57,NA,active,NA,NA
insecticide2,22,58,NA,active,NA,NA
insecticide2,22,59,NA,active,NA,NA
insecticide2,22,60,NA,active,NA,NA
insecticide2,22,61,NA,active,NA,NA
insecticide2,22,62,NA,active,NA,NA
insecticide2,22,63,NA,active,NA,NA
insecticide2,22,64,NA,active,NA,NA
insecticide2,22,65,NA,active,NA,NA
insecticide2,22,66,NA,active,NA,NA
insecticide2,22,67,NA,active,NA,NA
insecticide2,22,68,NA,active,NA,NA
insecticide2,22,69,NA,active,NA,NA
